,sample,A,B,C
0,29,talker_location_10_dist_3ft_gain_6_hood_OutRichmond_road_Geary_voice_4_seg2_dnn.wav,talker_location_10_dist_3ft_gain_6_hood_OutRichmond_road_Geary_voice_4_seg2_bfdpt.wav,talker_location_10_dist_3ft_gain_6_hood_OutRichmond_road_Geary_voice_4_seg2_postproc.wav
0,28,talker_location_10_dist_3ft_gain_6_hood_Presidio_road_Jackson_voice_0_seg1_bfdpt.wav,talker_location_10_dist_3ft_gain_6_hood_Presidio_road_Jackson_voice_0_seg1_postproc.wav,talker_location_10_dist_3ft_gain_6_hood_Presidio_road_Jackson_voice_0_seg1_dnn.wav
0,27,talker_location_11_dist_5ft_gain_6_hood_OutRichmond_road_Geary_voice_4_seg0_postproc.wav,talker_location_11_dist_5ft_gain_6_hood_OutRichmond_road_Geary_voice_4_seg0_dnn.wav,talker_location_11_dist_5ft_gain_6_hood_OutRichmond_road_Geary_voice_4_seg0_bfdpt.wav
0,26,talker_location_11_dist_5ft_gain_6_hood_FiDi_road_Washington_voice_4_seg2_dnn.wav,talker_location_11_dist_5ft_gain_6_hood_FiDi_road_Washington_voice_4_seg2_bfdpt.wav,talker_location_11_dist_5ft_gain_6_hood_FiDi_road_Washington_voice_4_seg2_postproc.wav
0,25,talker_location_12_dist_3ft_gain_6_hood_Soma_road_Bryant_voice_2_seg2_postproc.wav,talker_location_12_dist_3ft_gain_6_hood_Soma_road_Bryant_voice_2_seg2_bfdpt.wav,talker_location_12_dist_3ft_gain_6_hood_Soma_road_Bryant_voice_2_seg2_dnn.wav
0,24,talker_location_2_dist_5ft_gain_6_hood_Mission_road_Jalisco_voice_5_seg1_dnn.wav,talker_location_2_dist_5ft_gain_6_hood_Mission_road_Jalisco_voice_5_seg1_bfdpt.wav,talker_location_2_dist_5ft_gain_6_hood_Mission_road_Jalisco_voice_5_seg1_postproc.wav
0,23,talker_location_1_dist_5ft_gain_6_hood_FiDi_road_California_voice_3_seg2_postproc.wav,talker_location_1_dist_5ft_gain_6_hood_FiDi_road_California_voice_3_seg2_bfdpt.wav,talker_location_1_dist_5ft_gain_6_hood_FiDi_road_California_voice_3_seg2_dnn.wav
0,22,talker_location_11_dist_5ft_gain_6_hood_OutRichmond_road_45th_voice_2_seg3_postproc.wav,talker_location_11_dist_5ft_gain_6_hood_OutRichmond_road_45th_voice_2_seg3_dnn.wav,talker_location_11_dist_5ft_gain_6_hood_OutRichmond_road_45th_voice_2_seg3_bfdpt.wav
0,21,talker_location_12_dist_3ft_gain_6_hood_FiDi_road_California_voice_1_seg0_postproc.wav,talker_location_12_dist_3ft_gain_6_hood_FiDi_road_California_voice_1_seg0_dnn.wav,talker_location_12_dist_3ft_gain_6_hood_FiDi_road_California_voice_1_seg0_bfdpt.wav
0,20,talker_location_11_dist_5ft_gain_6_hood_Mission_road_24th_voice_3_seg3_bfdpt.wav,talker_location_11_dist_5ft_gain_6_hood_Mission_road_24th_voice_3_seg3_dnn.wav,talker_location_11_dist_5ft_gain_6_hood_Mission_road_24th_voice_3_seg3_postproc.wav
0,19,talker_location_2_dist_3ft_gain_6_hood_Presidio_road_Jackson_voice_3_seg2_postproc.wav,talker_location_2_dist_3ft_gain_6_hood_Presidio_road_Jackson_voice_3_seg2_bfdpt.wav,talker_location_2_dist_3ft_gain_6_hood_Presidio_road_Jackson_voice_3_seg2_dnn.wav
0,18,talker_location_11_dist_5ft_gain_6_hood_NorthBeach_road_Greenwich_voice_2_seg2_dnn.wav,talker_location_11_dist_5ft_gain_6_hood_NorthBeach_road_Greenwich_voice_2_seg2_bfdpt.wav,talker_location_11_dist_5ft_gain_6_hood_NorthBeach_road_Greenwich_voice_2_seg2_postproc.wav
0,17,talker_location_0_dist_5ft_gain_6_hood_FiDi_road_California_voice_4_seg1_dnn.wav,talker_location_0_dist_5ft_gain_6_hood_FiDi_road_California_voice_4_seg1_postproc.wav,talker_location_0_dist_5ft_gain_6_hood_FiDi_road_California_voice_4_seg1_bfdpt.wav
0,16,talker_location_1_dist_5ft_gain_6_hood_FiDi_road_California_voice_2_seg0_postproc.wav,talker_location_1_dist_5ft_gain_6_hood_FiDi_road_California_voice_2_seg0_dnn.wav,talker_location_1_dist_5ft_gain_6_hood_FiDi_road_California_voice_2_seg0_bfdpt.wav
0,15,talker_location_2_dist_5ft_gain_6_hood_NorthBeach_road_Greenwich_voice_4_seg2_postproc.wav,talker_location_2_dist_5ft_gain_6_hood_NorthBeach_road_Greenwich_voice_4_seg2_dnn.wav,talker_location_2_dist_5ft_gain_6_hood_NorthBeach_road_Greenwich_voice_4_seg2_bfdpt.wav
0,14,talker_location_0_dist_3ft_gain_6_hood_FiDi_road_Washington_voice_3_seg3_dnn.wav,talker_location_0_dist_3ft_gain_6_hood_FiDi_road_Washington_voice_3_seg3_bfdpt.wav,talker_location_0_dist_3ft_gain_6_hood_FiDi_road_Washington_voice_3_seg3_postproc.wav
0,13,talker_location_10_dist_5ft_gain_6_hood_NorthBeach_road_Greenwich_voice_3_seg3_dnn.wav,talker_location_10_dist_5ft_gain_6_hood_NorthBeach_road_Greenwich_voice_3_seg3_postproc.wav,talker_location_10_dist_5ft_gain_6_hood_NorthBeach_road_Greenwich_voice_3_seg3_bfdpt.wav
0,12,talker_location_2_dist_3ft_gain_6_hood_Soma_road_Bryant_voice_1_seg1_postproc.wav,talker_location_2_dist_3ft_gain_6_hood_Soma_road_Bryant_voice_1_seg1_dnn.wav,talker_location_2_dist_3ft_gain_6_hood_Soma_road_Bryant_voice_1_seg1_bfdpt.wav
0,11,talker_location_0_dist_5ft_gain_6_hood_Soma_road_Bryant_voice_0_seg1_dnn.wav,talker_location_0_dist_5ft_gain_6_hood_Soma_road_Bryant_voice_0_seg1_postproc.wav,talker_location_0_dist_5ft_gain_6_hood_Soma_road_Bryant_voice_0_seg1_bfdpt.wav
0,10,talker_location_10_dist_5ft_gain_6_hood_OutRichmond_road_45th_voice_4_seg3_bfdpt.wav,talker_location_10_dist_5ft_gain_6_hood_OutRichmond_road_45th_voice_4_seg3_postproc.wav,talker_location_10_dist_5ft_gain_6_hood_OutRichmond_road_45th_voice_4_seg3_dnn.wav
0,9,talker_location_2_dist_5ft_gain_6_hood_OutRichmond_road_45th_voice_3_seg2_postproc.wav,talker_location_2_dist_5ft_gain_6_hood_OutRichmond_road_45th_voice_3_seg2_dnn.wav,talker_location_2_dist_5ft_gain_6_hood_OutRichmond_road_45th_voice_3_seg2_bfdpt.wav
0,8,talker_location_1_dist_3ft_gain_6_hood_Soma_road_Folsom_voice_0_seg3_dnn.wav,talker_location_1_dist_3ft_gain_6_hood_Soma_road_Folsom_voice_0_seg3_postproc.wav,talker_location_1_dist_3ft_gain_6_hood_Soma_road_Folsom_voice_0_seg3_bfdpt.wav
0,7,talker_location_12_dist_5ft_gain_6_hood_Mission_road_Jalisco_voice_4_seg0_bfdpt.wav,talker_location_12_dist_5ft_gain_6_hood_Mission_road_Jalisco_voice_4_seg0_postproc.wav,talker_location_12_dist_5ft_gain_6_hood_Mission_road_Jalisco_voice_4_seg0_dnn.wav
0,6,talker_location_11_dist_3ft_gain_6_hood_NorthBeach_road_Greenwich_voice_0_seg3_postproc.wav,talker_location_11_dist_3ft_gain_6_hood_NorthBeach_road_Greenwich_voice_0_seg3_bfdpt.wav,talker_location_11_dist_3ft_gain_6_hood_NorthBeach_road_Greenwich_voice_0_seg3_dnn.wav
0,5,talker_location_10_dist_5ft_gain_6_hood_FiDi_road_California_voice_1_seg1_dnn.wav,talker_location_10_dist_5ft_gain_6_hood_FiDi_road_California_voice_1_seg1_postproc.wav,talker_location_10_dist_5ft_gain_6_hood_FiDi_road_California_voice_1_seg1_bfdpt.wav
0,4,talker_location_10_dist_3ft_gain_6_hood_OutRichmond_road_Geary_voice_4_seg1_dnn.wav,talker_location_10_dist_3ft_gain_6_hood_OutRichmond_road_Geary_voice_4_seg1_bfdpt.wav,talker_location_10_dist_3ft_gain_6_hood_OutRichmond_road_Geary_voice_4_seg1_postproc.wav
0,3,talker_location_2_dist_5ft_gain_6_hood_Mission_road_24th_voice_1_seg1_dnn.wav,talker_location_2_dist_5ft_gain_6_hood_Mission_road_24th_voice_1_seg1_bfdpt.wav,talker_location_2_dist_5ft_gain_6_hood_Mission_road_24th_voice_1_seg1_postproc.wav
0,2,talker_location_2_dist_5ft_gain_6_hood_FiDi_road_Washington_voice_0_seg2_dnn.wav,talker_location_2_dist_5ft_gain_6_hood_FiDi_road_Washington_voice_0_seg2_postproc.wav,talker_location_2_dist_5ft_gain_6_hood_FiDi_road_Washington_voice_0_seg2_bfdpt.wav
0,1,talker_location_10_dist_3ft_gain_6_hood_Soma_road_Folsom_voice_2_seg0_postproc.wav,talker_location_10_dist_3ft_gain_6_hood_Soma_road_Folsom_voice_2_seg0_dnn.wav,talker_location_10_dist_3ft_gain_6_hood_Soma_road_Folsom_voice_2_seg0_bfdpt.wav
0,0,talker_location_10_dist_5ft_gain_6_hood_Soma_road_Folsom_voice_0_seg1_postproc.wav,talker_location_10_dist_5ft_gain_6_hood_Soma_road_Folsom_voice_0_seg1_dnn.wav,talker_location_10_dist_5ft_gain_6_hood_Soma_road_Folsom_voice_0_seg1_bfdpt.wav
